time_s,soc_percent,voltage_V,ocv_V,current_A,resistance_mOhm,rc1_voltage_mV,rc2_voltage_mV
3.4000000000000017,99.99905555555554,3.470547767436902,3.4719867777777775,-1.0,0.3750023611111111,0.8173164759472653,0.24669150381720556
3.5000000000000018,99.99902777777777,3.4705334530536796,3.471986388888889,-1.0,0.3750024305555556,0.8262260565495548,0.2517073481042956
3.600000000000002,99.999,3.470519672516201,3.471986,-1.0,0.3750025,0.8347011117784134,0.2566238720200146
3.700000000000002,99.99897222222222,3.470506402665741,3.471985611111111,-1.0,0.37500256944444443,0.8427628336863724,0.2614430422394832
3.800000000000002,99.99894444444443,3.4704936214160607,3.471985222222222,-1.0,0.3750026388888889,0.8504313807773649,0.2661667864950458
3.900000000000002,99.99891666666666,3.4704813077022396,3.4719848333333334,-1.0,0.3750027083333334,0.8577259284134864,0.2707969943473887
4.000000000000002,99.99888888888889,3.470469441431962,3.4719844444444443,-1.0,0.3750027777777778,0.8646647167633873,0.27533551794138966
4.100000000000001,99.9988611111111,3.470458003439174,3.4719840555555552,-1.0,0.3750028472222222,0.8712650964121957,0.2797841727470009
4.200000000000001,99.99883333333332,3.4704469754399674,3.4719836666666666,-1.0,0.3750029166666667,0.877543571747018,0.2841447382854607
4.300000000000001,99.99880555555555,3.4704363399905986,3.4719832777777775,-1.0,0.37500298611111116,0.883515842226503,0.28841895884112617
4.4,99.99877777777778,3.470426080447537,3.471982888888889,-1.0,0.3750030555555556,0.8891968416376661,0.2926085441592099
4.5,99.99874999999999,3.470416180929432,3.4719824999999997,-1.0,0.375003125,0.8946007754381357,0.29671517012970106
4.6,99.99872222222221,3.4704066262809317,3.471982111111111,-1.0,0.37500319444444447,0.8997411562771963,0.30074047945774357
4.699999999999999,99.99869444444444,3.470397402038228,3.471981722222222,-1.0,0.37500326388888894,0.9046308377844504,0.3046860823207401
4.799999999999999,99.99866666666665,3.470388494396277,3.4719813333333334,-1.0,0.37500333333333336,0.9092820467105875,0.3085535570124447
4.899999999999999,99.99863888888888,3.4703798901775915,3.4719809444444443,-1.0,0.3750034027777778,0.9137064135006295,0.31234445057430094
4.999999999999998,99.9986111111111,3.470371576802543,3.4719805555555556,-1.0,0.37500347222222224,0.9179150013761013,0.3160602794142796
5.099999999999998,99.99858333333333,3.4703635422610875,3.4719801666666665,-1.0,0.3750035416666667,0.9219183339988469,0.31970252991346165
5.1999999999999975,99.99855555555554,3.4703557750858605,3.4719797777777774,-1.0,0.37500361111111113,0.9257264217856661,0.3232726590206107
5.299999999999997,99.99852777777777,3.470348264326559,3.471979388888889,-1.0,0.37500368055555555,0.9293487869395705,0.3267720948349721
5.399999999999997,99.99849999999999,3.470340999525562,3.4719789999999997,-1.0,0.37500375,0.9327944872602503,0.3302022371775312
5.4999999999999964,99.99847222222222,3.4703339706947225,3.471978611111111,-1.0,0.3750038194444445,0.9360721387932925,0.33356445815096103
5.599999999999996,99.99844444444443,3.4703271682932697,3.471978222222222,-1.0,0.3750038888888889,0.9391899373747822,0.33686010268848104
5.699999999999996,99.99841666666666,3.470320583206783,3.4719778333333333,-1.0,0.37500395833333333,0.9421556791251616,0.34009048909184886
5.799999999999995,99.99838888888888,3.4703142067271644,3.4719774444444442,-1.0,0.3750040277777778,0.944976779943593,0.34325690955869814
5.899999999999995,99.9983611111111,3.4703080305335825,3.4719770555555556,-1.0,0.3750040972222223,0.9476602940515677,0.34636063069943523
5.999999999999995,99.99833333333332,3.4703020466743237,3.4719766666666665,-1.0,0.3750041666666667,0.9502129316321362,0.3494028940438998
6.099999999999994,99.99830555555555,3.4702962475495194,3.4719762777777774,-1.0,0.3750042361111111,0.9526410756088591,0.35238491653799375
6.199999999999994,99.99827777777777,3.4702906258946964,3.4719758888888888,-1.0,0.3750043055555556,0.9549507976064422,0.35530789103047555
6.299999999999994,99.99824999999998,3.4702851747651167,3.4719754999999997,-1.0,0.37500437500000006,0.9571478731329599,0.35817298675011566
6.399999999999993,99.99822222222221,3.4702798875208716,3.471975111111111,-1.0,0.3750044444444445,0.9592377960216338,0.3609813497734038
6.499999999999993,99.99819444444444,3.470274757812682,3.471974722222222,-1.0,0.3750045138888889,0.9612257921682781,0.36373410348299456
6.5999999999999925,99.99816666666665,3.470269779568384,3.4719743333333333,-1.0,0.37500458333333336,0.9631168325987601,0.36643234901707566
6.699999999999992,99.99813888888887,3.4702649469800573,3.471973944444444,-1.0,0.37500465277777784,0.964915645899155,0.3690771657098379
6.799999999999992,99.9981111111111,3.4702602544917704,3.4719735555555555,-1.0,0.37500472222222225,0.9666267300396739,0.3716696115232229
6.8999999999999915,99.99808333333333,3.4702556967879077,3.4719731666666664,-1.0,0.37500479166666667,0.9682543636219321,0.37421072347012263
6.999999999999991,99.99805555555554,3.4702512687820595,3.4719727777777774,-1.0,0.37500486111111114,0.9698026165776814,0.3767015180291976
7.099999999999991,99.99802777777776,3.4702469656064356,3.4719723888888887,-1.0,0.3750049305555556,0.9712753603457606,0.3791429915514826
7.19999999999999,99.99799999999999,3.470242782601788,3.4719719999999996,-1.0,0.37500500000000003,0.9726762775527074,0.38153612065894
7.29999999999999,99.9979722222222,3.4702387153078105,3.471971611111111,-1.0,0.37500506944444445,0.9740088712212446,0.3838818626351215
7.39999999999999,99.99794444444443,3.4702347594539953,3.471971222222222,-1.0,0.3750051388888889,0.9752764735296605,0.3861811558080945
7.499999999999989,99.99791666666665,3.47023091095093,3.4719708333333332,-1.0,0.3750052083333334,0.9764822541439909,0.38843491992578594
7.599999999999989,99.99788888888888,3.4702271658819983,3.471970444444444,-1.0,0.3750052777777778,0.9776292281438344,0.39064405652389345
7.699999999999989,99.99786111111109,3.4702235204954848,3.4719700555555555,-1.0,0.37500534722222223,0.9787202635616228,0.3928094492865119
7.799999999999988,99.99783333333332,3.470219971197046,3.4719696666666664,-1.0,0.3750054166666667,0.9797580885541955,0.3949319643996185
7.899999999999988,99.99780555555554,3.4702165145425443,3.4719692777777778,-1.0,0.3750054861111112,0.9807452982246129,0.3970124508975591
7.999999999999988,99.99777777777777,3.470213147231219,3.4719688888888887,-1.0,0.3750055555555556,0.9816843611112654,0.39905174100267315
